name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
TOI-3722.01,-999,0.17943548037686413,,https://exofop.ipac.caltech.edu/tess/target.php?id=346015394
TOI-3723.01,-999,0.11657615536635269,,https://exofop.ipac.caltech.edu/tess/target.php?id=3027681
TOI-3724.01,-999,0.09370165420097983,14.535,https://exofop.ipac.caltech.edu/tess/target.php?id=143642240
TOI-3725.01,-999,0.09753418150532685,,https://exofop.ipac.caltech.edu/tess/target.php?id=339250695
TOI-3726.01,-999,0.16443046287847607,,https://exofop.ipac.caltech.edu/tess/target.php?id=122695048
TOI-3727.01,-999,0.08136392476233782,,https://exofop.ipac.caltech.edu/tess/target.php?id=339207847
TOI-3728.01,-999,0.0844393273303382,120.83,https://exofop.ipac.caltech.edu/tess/target.php?id=116257066
TOI-3729.01,-999,0.1504291511090028,,https://exofop.ipac.caltech.edu/tess/target.php?id=322160664
TOI-3730.01,-999,0.12470436792396888,,https://exofop.ipac.caltech.edu/tess/target.php?id=417844678
TOI-3731.01,-999,0.0659545297913646,,https://exofop.ipac.caltech.edu/tess/target.php?id=115457180
TOI-3732.01,-999,0.04959838707054898,,https://exofop.ipac.caltech.edu/tess/target.php?id=321894059
TOI-3733.01,-999,0.0855479793968622,,https://exofop.ipac.caltech.edu/tess/target.php?id=321436679
TOI-3734.01,-999,0.10026341103520317,,https://exofop.ipac.caltech.edu/tess/target.php?id=105135774
TOI-3735.01,-999,0.1069068468035841,,https://exofop.ipac.caltech.edu/tess/target.php?id=317252733
TOI-3736.01,-999,0.10878995476610927,,https://exofop.ipac.caltech.edu/tess/target.php?id=98620619
TOI-3737.01,-999,0.0957601169589929,10.51,https://exofop.ipac.caltech.edu/tess/target.php?id=96074951
TOI-3738.01,-999,0.09372221308432542,28.08,https://exofop.ipac.caltech.edu/tess/target.php?id=312689217
TOI-3739.01,-999,0.09745642943650695,,https://exofop.ipac.caltech.edu/tess/target.php?id=311441461
TOI-3740.01,-999,0.17187204542915058,,https://exofop.ipac.caltech.edu/tess/target.php?id=87597187
TOI-3741.01,-999,0.18989470766717012,,https://exofop.ipac.caltech.edu/tess/target.php?id=701926762
TOI-3742.01,-999,0.22262075374951007,,https://exofop.ipac.caltech.edu/tess/target.php?id=286696848
TOI-3743.01,-999,0.0648074069840786,,https://exofop.ipac.caltech.edu/tess/target.php?id=87091417
TOI-3744.01,-999,0.05493228130068512,,https://exofop.ipac.caltech.edu/tess/target.php?id=86075481
TOI-3745.01,-999,0.08602325267042626,,https://exofop.ipac.caltech.edu/tess/target.php?id=666567477
TOI-3746.01,-999,0.042426406871192854,,https://exofop.ipac.caltech.edu/tess/target.php?id=284747017
TOI-3747.01,-999,0.06783672539299351,,https://exofop.ipac.caltech.edu/tess/target.php?id=647636934
TOI-3748.01,-999,0.09840674040195774,,https://exofop.ipac.caltech.edu/tess/target.php?id=82622707
TOI-3749.01,-999,0.09591663046625439,,https://exofop.ipac.caltech.edu/tess/target.php?id=284174392
TOI-3750.01,-999,0.1308816259067712,,https://exofop.ipac.caltech.edu/tess/target.php?id=468777766
TOI-3751.01,-999,0.1123832727766904,,https://exofop.ipac.caltech.edu/tess/target.php?id=284173938
TOI-3752.01,-999,0.08643081917634288,,https://exofop.ipac.caltech.edu/tess/target.php?id=81597356
TOI-3753.01,-999,0.09486832980505137,,https://exofop.ipac.caltech.edu/tess/target.php?id=467783290
TOI-3754.01,-999,0.0363318042491699,8.73,https://exofop.ipac.caltech.edu/tess/target.php?id=81593515
TOI-3755.01,-999,0.08966762664084217,4.91,https://exofop.ipac.caltech.edu/tess/target.php?id=281196902
TOI-3756.01,-999,0.10335450245246455,13.905000000000001,https://exofop.ipac.caltech.edu/tess/target.php?id=67300566
TOI-3757.01,-999,0.18142328609039746,,https://exofop.ipac.caltech.edu/tess/target.php?id=445751830
TOI-3758.01,-999,0.10079682534683322,,https://exofop.ipac.caltech.edu/tess/target.php?id=280254984
TOI-3759.01,-999,0.0720416546173115,,https://exofop.ipac.caltech.edu/tess/target.php?id=27244707
TOI-3760.01,-999,0.12605554331325539,,https://exofop.ipac.caltech.edu/tess/target.php?id=440186528
TOI-3761.01,-999,0.16616257099599777,,https://exofop.ipac.caltech.edu/tess/target.php?id=275703182
TOI-3762.01,-999,0.02683281572999748,10.46,https://exofop.ipac.caltech.edu/tess/target.php?id=9833284
TOI-3763.01,-999,0.09328392415805839,,https://exofop.ipac.caltech.edu/tess/target.php?id=432114158
TOI-3764.01,-999,0.09225165609747996,,https://exofop.ipac.caltech.edu/tess/target.php?id=275702126
TOI-3765.01,-999,0.10271606923132524,44.865,https://exofop.ipac.caltech.edu/tess/target.php?id=432078760
TOI-3766.01,-999,0.07700649323271383,,https://exofop.ipac.caltech.edu/tess/target.php?id=9830791
TOI-3767.01,-999,0.10396798813822407,,https://exofop.ipac.caltech.edu/tess/target.php?id=274545328
TOI-3768.01,-999,0.08953226450409026,,https://exofop.ipac.caltech.edu/tess/target.php?id=268172361
TOI-3769.01,-999,0.08215838362577492,115.35,https://exofop.ipac.caltech.edu/tess/target.php?id=428251130
TOI-3770.01,-999,0.08049844718999243,,https://exofop.ipac.caltech.edu/tess/target.php?id=8621049
TOI-3771.01,-999,0.10861911173309695,,https://exofop.ipac.caltech.edu/tess/target.php?id=3364732
TOI-3772.01,-999,0.08415117439501436,,https://exofop.ipac.caltech.edu/tess/target.php?id=426319499
TOI-3773.01,-999,0.09422421716001905,,https://exofop.ipac.caltech.edu/tess/target.php?id=266772500
TOI-3774.01,-999,0.1245391504708459,,https://exofop.ipac.caltech.edu/tess/target.php?id=704012376
TOI-3775.01,-999,0.13689411966918083,,https://exofop.ipac.caltech.edu/tess/target.php?id=68850908
TOI-3776.01,-999,0.08455767262643882,,https://exofop.ipac.caltech.edu/tess/target.php?id=68388114
TOI-3777.01,-999,0.06767569726275452,,https://exofop.ipac.caltech.edu/tess/target.php?id=802227190
TOI-3778.01,-999,0.08657298664226636,,https://exofop.ipac.caltech.edu/tess/target.php?id=53307409
TOI-3779.01,-999,0.1313575201253476,,https://exofop.ipac.caltech.edu/tess/target.php?id=742648307
TOI-3780.01,-999,0.14669150252335103,,https://exofop.ipac.caltech.edu/tess/target.php?id=468832904
TOI-3781.01,-999,0.06928203230275509,,https://exofop.ipac.caltech.edu/tess/target.php?id=470974162
TOI-3782.01,-999,0.06928203230275509,,https://exofop.ipac.caltech.edu/tess/target.php?id=396813816
TOI-3783.01,-999,0.08854377448471462,,https://exofop.ipac.caltech.edu/tess/target.php?id=459755750
TOI-3784.01,-999,0.06985882176495263,,https://exofop.ipac.caltech.edu/tess/target.php?id=339503267
TOI-3785.01,-999,0.09055385138137417,,https://exofop.ipac.caltech.edu/tess/target.php?id=458419328
TOI-3786.01,-999,0.0565685424949238,6.79,https://exofop.ipac.caltech.edu/tess/target.php?id=321250206
TOI-3787.01,-999,0.12573411503760984,,https://exofop.ipac.caltech.edu/tess/target.php?id=457104362
TOI-3788.01,-999,0.08485281374238571,12.52,https://exofop.ipac.caltech.edu/tess/target.php?id=312811620
TOI-3789.01,-999,0.11547408859106748,,https://exofop.ipac.caltech.edu/tess/target.php?id=453410966
TOI-3790.01,-999,0.11584472366059664,3.13,https://exofop.ipac.caltech.edu/tess/target.php?id=29117085
TOI-3791.01,-999,0.09924716620639604,,https://exofop.ipac.caltech.edu/tess/target.php?id=400432230
TOI-3792.01,-999,0.05338539126015656,,https://exofop.ipac.caltech.edu/tess/target.php?id=453348525
TOI-3793.01,-999,0.11997668747054988,,https://exofop.ipac.caltech.edu/tess/target.php?id=29105766
TOI-3794.01,-999,0.030983866769659335,,https://exofop.ipac.caltech.edu/tess/target.php?id=416539317
TOI-3795.01,-999,0.06156297588648554,21.34,https://exofop.ipac.caltech.edu/tess/target.php?id=253030300
TOI-3796.01,-999,0.09989994994993741,3.41,https://exofop.ipac.caltech.edu/tess/target.php?id=393251073
TOI-3797.01,-999,0.09181503144910423,4.41,https://exofop.ipac.caltech.edu/tess/target.php?id=252912175
TOI-3798.01,-999,0.09928707560938704,,https://exofop.ipac.caltech.edu/tess/target.php?id=22683951
TOI-3799.01,-999,0.17111757933323332,3.6500000000000004,https://exofop.ipac.caltech.edu/tess/target.php?id=373614579
TOI-3800.01,-999,0.041593268686170845,171.97,https://exofop.ipac.caltech.edu/tess/target.php?id=21291176
TOI-3801.01,-999,0.11867402513929659,,https://exofop.ipac.caltech.edu/tess/target.php?id=373612558
TOI-3802.01,-999,0.09327379053088815,,https://exofop.ipac.caltech.edu/tess/target.php?id=190250689
TOI-3803.01,-999,0.06300793600809346,76.82,https://exofop.ipac.caltech.edu/tess/target.php?id=353498819
TOI-3804.01,-999,0.13446048728888646,,https://exofop.ipac.caltech.edu/tess/target.php?id=312991501
TOI-3805.01,-999,0.11549891774384728,,https://exofop.ipac.caltech.edu/tess/target.php?id=189852832
TOI-3806.01,-999,0.06442049363362563,,https://exofop.ipac.caltech.edu/tess/target.php?id=16076354
TOI-3807.01,-999,0.06066300355241241,5.484999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=289661991
TOI-3808.01,-999,0.09921256478662524,,https://exofop.ipac.caltech.edu/tess/target.php?id=138497780
TOI-3809.01,-999,0.15880806024884253,,https://exofop.ipac.caltech.edu/tess/target.php?id=252876117
TOI-3810.01,-999,0.07180039909912424,,https://exofop.ipac.caltech.edu/tess/target.php?id=239136269
TOI-3811.01,-999,0.04626013402488151,4.36,https://exofop.ipac.caltech.edu/tess/target.php?id=138475192
TOI-3812.01,-999,0.1345444253880472,,https://exofop.ipac.caltech.edu/tess/target.php?id=239134248
TOI-3813.01,-999,0.10618190010462941,,https://exofop.ipac.caltech.edu/tess/target.php?id=4605846
TOI-3814.01,-999,0.09286387969944089,,https://exofop.ipac.caltech.edu/tess/target.php?id=155873992
TOI-3815.01,-999,0.11126544836560899,17.59,https://exofop.ipac.caltech.edu/tess/target.php?id=149995163
TOI-3816.01,-999,0.08130190649671139,,https://exofop.ipac.caltech.edu/tess/target.php?id=102848207
TOI-3817.01,-999,0.08277883211832993,,https://exofop.ipac.caltech.edu/tess/target.php?id=99572130
TOI-3818.01,-999,0.10073074856425866,,https://exofop.ipac.caltech.edu/tess/target.php?id=99097200
TOI-3819.01,-999,0.07544537647117006,6.76,https://exofop.ipac.caltech.edu/tess/target.php?id=95660472
TOI-3820.01,-999,0.08597446410035256,6.85,https://exofop.ipac.caltech.edu/tess/target.php?id=95234976
TOI-3821.01,-999,0.09953633219414537,,https://exofop.ipac.caltech.edu/tess/target.php?id=88485645
TOI-3822.01,-999,0.12433745516776752,3.9400000000000004,https://exofop.ipac.caltech.edu/tess/target.php?id=88385463
TOI-3823.01,-999,0.03781534080237808,,https://exofop.ipac.caltech.edu/tess/target.php?id=81212289
TOI-3824.01,-999,0.07050664606378465,,https://exofop.ipac.caltech.edu/tess/target.php?id=71134735
TOI-3825.01,-999,0.09110433579144299,,https://exofop.ipac.caltech.edu/tess/target.php?id=39077574
TOI-3826.01,-999,0.1638596960817394,9.94,https://exofop.ipac.caltech.edu/tess/target.php?id=9346507
TOI-3827.01,-999,0.0997997995989972,,https://exofop.ipac.caltech.edu/tess/target.php?id=8677530
TOI-3828.01,-999,0.05744562646538029,3.61,https://exofop.ipac.caltech.edu/tess/target.php?id=841226526
TOI-3829.01,-999,0.11631852818876277,,https://exofop.ipac.caltech.edu/tess/target.php?id=801354155
TOI-3830.01,-999,0.09622889378975526,,https://exofop.ipac.caltech.edu/tess/target.php?id=445807396
TOI-3831.01,-999,0.0985900603509299,,https://exofop.ipac.caltech.edu/tess/target.php?id=393853275
TOI-3832.01,-999,0.08848728722251575,,https://exofop.ipac.caltech.edu/tess/target.php?id=356736743
TOI-3833.01,-999,0.08264381404557754,,https://exofop.ipac.caltech.edu/tess/target.php?id=356539624
TOI-3834.01,-999,0.09088454214001411,,https://exofop.ipac.caltech.edu/tess/target.php?id=355953198
TOI-3835.01,-999,0.12561846997953763,,https://exofop.ipac.caltech.edu/tess/target.php?id=330795142
TOI-3836.01,-999,0.08191458966508958,,https://exofop.ipac.caltech.edu/tess/target.php?id=900240532
TOI-3837.01,-999,0.08831760866327847,3.29,https://exofop.ipac.caltech.edu/tess/target.php?id=308073360
TOI-3838.01,-999,0.06058052492344384,,https://exofop.ipac.caltech.edu/tess/target.php?id=307915084
TOI-3839.01,-999,0.04857983120596448,,https://exofop.ipac.caltech.edu/tess/target.php?id=298074043
TOI-3840.01,-999,0.07835815209663893,,https://exofop.ipac.caltech.edu/tess/target.php?id=287231664
TOI-3841.01,-999,0.07441320499169976,,https://exofop.ipac.caltech.edu/tess/target.php?id=252474634
TOI-3842.01,-999,0.14741099009232655,2.8899999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=165985431
TOI-3843.01,-999,0.06387487769068526,,https://exofop.ipac.caltech.edu/tess/target.php?id=841226527
TOI-3844.01,-999,0.11175866856758808,,https://exofop.ipac.caltech.edu/tess/target.php?id=165885558
TOI-3845.01,-999,0.11878552100319298,,https://exofop.ipac.caltech.edu/tess/target.php?id=156816238
TOI-3846.01,-999,0.1652573750245356,,https://exofop.ipac.caltech.edu/tess/target.php?id=149918151
TOI-3847.01,-999,0.09518403227432636,3.495,https://exofop.ipac.caltech.edu/tess/target.php?id=149917086
TOI-3848.01,-999,0.11171392035015153,,https://exofop.ipac.caltech.edu/tess/target.php?id=147994863
TOI-3849.01,-999,0.1418097316829843,,https://exofop.ipac.caltech.edu/tess/target.php?id=147890655
TOI-3850.01,-999,0.10425929215182693,6.99,https://exofop.ipac.caltech.edu/tess/target.php?id=143008050
TOI-3851.01,-999,0.03741657386773942,4.390000000000001,https://exofop.ipac.caltech.edu/tess/target.php?id=142739544
TOI-3852.01,-999,0.15033296378372907,,https://exofop.ipac.caltech.edu/tess/target.php?id=142635225
TOI-3853.01,-999,0.039370039370059055,3.8899999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=142618165
TOI-3854.01,-999,0.10387492478938312,,https://exofop.ipac.caltech.edu/tess/target.php?id=142562395
TOI-3855.01,-999,0.13874436925511607,,https://exofop.ipac.caltech.edu/tess/target.php?id=126325149
TOI-3856.01,-999,0.11392980294900891,3.7,https://exofop.ipac.caltech.edu/tess/target.php?id=125552076
TOI-3857.01,-999,0.14247806848775008,,https://exofop.ipac.caltech.edu/tess/target.php?id=105379013
TOI-3858.01,-999,0.04183300132670378,12.3,https://exofop.ipac.caltech.edu/tess/target.php?id=86273567
TOI-3859.01,-999,0.06115553940568262,,https://exofop.ipac.caltech.edu/tess/target.php?id=1122079
TOI-3860.01,-999,0.11687600266949584,,https://exofop.ipac.caltech.edu/tess/target.php?id=416542079
TOI-3861.01,-999,0.0752994023880668,2.57,https://exofop.ipac.caltech.edu/tess/target.php?id=396950329
TOI-3862.01,-999,0.06244997998398398,2.42,https://exofop.ipac.caltech.edu/tess/target.php?id=141205978
TOI-3863.01,-999,0.09364827814754524,,https://exofop.ipac.caltech.edu/tess/target.php?id=383531543
TOI-3864.01,-999,0.07218032973047435,,https://exofop.ipac.caltech.edu/tess/target.php?id=1001477809
TOI-3865.01,-999,0.08209750300709517,,https://exofop.ipac.caltech.edu/tess/target.php?id=376688393
TOI-3866.01,-999,0.12497999839974396,,https://exofop.ipac.caltech.edu/tess/target.php?id=376632626
TOI-3867.01,-999,0.10425929215182693,,https://exofop.ipac.caltech.edu/tess/target.php?id=320208949
TOI-3868.01,-999,0.09705668446840743,,https://exofop.ipac.caltech.edu/tess/target.php?id=310994622
TOI-3869.01,-999,0.08366600265340755,,https://exofop.ipac.caltech.edu/tess/target.php?id=253044312
TOI-3870.01,-999,0.06156297588648554,,https://exofop.ipac.caltech.edu/tess/target.php?id=165989915
TOI-3871.01,-999,0.11458621208504974,3.96,https://exofop.ipac.caltech.edu/tess/target.php?id=165468291
TOI-3872.01,-999,0.08031189202104505,2.9,https://exofop.ipac.caltech.edu/tess/target.php?id=165431806
TOI-3873.01,-999,0.0947100839404126,,https://exofop.ipac.caltech.edu/tess/target.php?id=154126149
TOI-3874.01,-999,0.08596510920134982,,https://exofop.ipac.caltech.edu/tess/target.php?id=154105890
TOI-3875.01,-999,0.09197825830053535,3.17,https://exofop.ipac.caltech.edu/tess/target.php?id=153978165
TOI-3876.01,-999,0.14986660735467391,,https://exofop.ipac.caltech.edu/tess/target.php?id=150388393
TOI-3877.01,-999,0.0758946638440411,5.085,https://exofop.ipac.caltech.edu/tess/target.php?id=144310492
TOI-3878.01,-999,0.03754996671103718,12.14,https://exofop.ipac.caltech.edu/tess/target.php?id=141275395
TOI-3879.01,-999,0.044045431091090485,1.83,https://exofop.ipac.caltech.edu/tess/target.php?id=139086171
TOI-3880.01,-999,0.07962411694957754,,https://exofop.ipac.caltech.edu/tess/target.php?id=138973825
TOI-3881.01,-999,0.07042726744663604,3.165,https://exofop.ipac.caltech.edu/tess/target.php?id=136998882
TOI-3882.01,-999,0.04381780460041329,4.195,https://exofop.ipac.caltech.edu/tess/target.php?id=101643582
TOI-3883.01,-999,0.12206555615733702,8.19,https://exofop.ipac.caltech.edu/tess/target.php?id=99330090
TOI-3884.01,-999,0.17532826355154493,,https://exofop.ipac.caltech.edu/tess/target.php?id=86263325
TOI-3885.01,-999,0.13740451229854134,,https://exofop.ipac.caltech.edu/tess/target.php?id=55748194
TOI-3886.01,-999,0.12292970126950972,,https://exofop.ipac.caltech.edu/tess/target.php?id=48220826
TOI-3887.01,-999,0.08683317338436963,,https://exofop.ipac.caltech.edu/tess/target.php?id=21549805
TOI-3888.01,-999,0.096591925128346,,https://exofop.ipac.caltech.edu/tess/target.php?id=18067025
TOI-3889.01,-999,0.14594519519326424,,https://exofop.ipac.caltech.edu/tess/target.php?id=950525831
TOI-3890.01,-999,0.0372827037646145,7.86,https://exofop.ipac.caltech.edu/tess/target.php?id=18017227
TOI-3891.01,-999,0.03178049716414141,,https://exofop.ipac.caltech.edu/tess/target.php?id=459215281
TOI-3892.01,-999,0.107144761887831,3.5300000000000002,https://exofop.ipac.caltech.edu/tess/target.php?id=3896759
TOI-3893.01,-999,0.058566201857385286,1.44,https://exofop.ipac.caltech.edu/tess/target.php?id=458424950
TOI-3894.01,-999,0.1,5.175000000000001,https://exofop.ipac.caltech.edu/tess/target.php?id=165464482
TOI-3895.01,-999,0.08648699324175861,,https://exofop.ipac.caltech.edu/tess/target.php?id=3808740
TOI-3896.01,-999,0.03781534080237808,1.15,https://exofop.ipac.caltech.edu/tess/target.php?id=445837596
TOI-3897.01,-999,0.04312771730569565,6.0649999999999995,https://exofop.ipac.caltech.edu/tess/target.php?id=154181821
TOI-3898.01,-999,0.09848857801796104,,https://exofop.ipac.caltech.edu/tess/target.php?id=450337675
TOI-3899.01,-999,0.0291547594742265,2.575,https://exofop.ipac.caltech.edu/tess/target.php?id=441697509
TOI-3900.01,-999,0.08270429251254133,,https://exofop.ipac.caltech.edu/tess/target.php?id=366755319
TOI-3901.01,-999,0.13152946437965904,,https://exofop.ipac.caltech.edu/tess/target.php?id=357373216
TOI-3902.01,-999,0.09909591313469997,,https://exofop.ipac.caltech.edu/tess/target.php?id=310094771
TOI-3903.01,-999,0.09332738076256078,,https://exofop.ipac.caltech.edu/tess/target.php?id=288434231
TOI-3904.01,-999,0.056833088953531286,7.9350000000000005,https://exofop.ipac.caltech.edu/tess/target.php?id=233462817
TOI-3905.01,-999,0.10653637876331258,,https://exofop.ipac.caltech.edu/tess/target.php?id=180672438
TOI-3906.01,-999,0.058566201857385286,,https://exofop.ipac.caltech.edu/tess/target.php?id=180607846
TOI-3907.01,-999,0.10904127658827184,3.5,https://exofop.ipac.caltech.edu/tess/target.php?id=165723070
TOI-3908.01,-999,0.13603847328736934,5.88,https://exofop.ipac.caltech.edu/tess/target.php?id=165412561
TOI-3909.01,-999,0.09638464608017192,4.13,https://exofop.ipac.caltech.edu/tess/target.php?id=161003569
TOI-3910.01,-999,0.14849242404917498,3.93,https://exofop.ipac.caltech.edu/tess/target.php?id=158617175
TOI-3911.01,-999,0.03987480407475377,0.9949999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=158497525
TOI-3912.01,-999,0.09864076236526156,4.415,https://exofop.ipac.caltech.edu/tess/target.php?id=156648452
TOI-3913.01,-999,0.09005553841935542,,https://exofop.ipac.caltech.edu/tess/target.php?id=155898758
TOI-3914.01,-999,0.10719141756689292,7.525,https://exofop.ipac.caltech.edu/tess/target.php?id=139118482
TOI-3915.01,-999,0.16028100324118263,3.1550000000000002,https://exofop.ipac.caltech.edu/tess/target.php?id=81247877
TOI-3916.01,-999,0.08584870412533901,,https://exofop.ipac.caltech.edu/tess/target.php?id=68074302
TOI-3917.01,-999,0.07752418977325723,,https://exofop.ipac.caltech.edu/tess/target.php?id=68035558
TOI-3918.01,-999,0.07648529270389177,,https://exofop.ipac.caltech.edu/tess/target.php?id=23815847
TOI-3919.01,-999,0.07745966692414834,7.33,https://exofop.ipac.caltech.edu/tess/target.php?id=23769326
TOI-3920.01,-999,0.1146298390472568,,https://exofop.ipac.caltech.edu/tess/target.php?id=2016376984
TOI-3921.01,-999,0.1889973544788392,,https://exofop.ipac.caltech.edu/tess/target.php?id=1101909431
TOI-3922.01,-999,0.1503662196106559,,https://exofop.ipac.caltech.edu/tess/target.php?id=1101855081
TOI-3923.01,-999,0.10719228405210937,,https://exofop.ipac.caltech.edu/tess/target.php?id=467265105
TOI-3924.01,-999,0.08240145629781066,,https://exofop.ipac.caltech.edu/tess/target.php?id=456042145
TOI-3925.01,-999,0.03577708763999664,,https://exofop.ipac.caltech.edu/tess/target.php?id=435167167
TOI-3926.01,-999,0.0744848977981443,39.88,https://exofop.ipac.caltech.edu/tess/target.php?id=434171145
TOI-3927.01,-999,0.13986421987055875,,https://exofop.ipac.caltech.edu/tess/target.php?id=434171113
TOI-3928.01,-999,0.08700574693662483,,https://exofop.ipac.caltech.edu/tess/target.php?id=427153307
TOI-3929.01,-999,0.12850680915811427,,https://exofop.ipac.caltech.edu/tess/target.php?id=422554579
TOI-3930.01,-999,0.07182617907142215,,https://exofop.ipac.caltech.edu/tess/target.php?id=422514153
TOI-3931.01,-999,0.09238270311968383,,https://exofop.ipac.caltech.edu/tess/target.php?id=421336001
TOI-3932.01,-999,0.05244044240850758,,https://exofop.ipac.caltech.edu/tess/target.php?id=408094424
TOI-3933.01,-999,0.07387151006985034,,https://exofop.ipac.caltech.edu/tess/target.php?id=388393034
TOI-3934.01,-999,0.08765272385955841,,https://exofop.ipac.caltech.edu/tess/target.php?id=375981105
TOI-3935.01,-999,0.07424284477308235,,https://exofop.ipac.caltech.edu/tess/target.php?id=372207084
TOI-3936.01,-999,0.08522910301065006,,https://exofop.ipac.caltech.edu/tess/target.php?id=371676181
TOI-3937.01,-999,0.14203144861882208,,https://exofop.ipac.caltech.edu/tess/target.php?id=367425982
TOI-3938.01,-999,0.06949820141557622,,https://exofop.ipac.caltech.edu/tess/target.php?id=367333043
TOI-3939.01,-999,0.15899056575784615,,https://exofop.ipac.caltech.edu/tess/target.php?id=366115856
TOI-3940.01,-999,0.18044389709823938,,https://exofop.ipac.caltech.edu/tess/target.php?id=346081845
TOI-3941.01,-999,0.11546428019088847,,https://exofop.ipac.caltech.edu/tess/target.php?id=345697569
TOI-3942.01,-999,0.07522944029913821,,https://exofop.ipac.caltech.edu/tess/target.php?id=345329200
TOI-3943.01,-999,0.0469041575982343,,https://exofop.ipac.caltech.edu/tess/target.php?id=343330330
TOI-3944.01,-999,0.07249827584156743,,https://exofop.ipac.caltech.edu/tess/target.php?id=338065029
TOI-3945.01,-999,0.06157109711544858,,https://exofop.ipac.caltech.edu/tess/target.php?id=336824844
TOI-3946.01,-999,0.12136721138759018,,https://exofop.ipac.caltech.edu/tess/target.php?id=336399144
TOI-3947.01,-999,0.06767569726275452,,https://exofop.ipac.caltech.edu/tess/target.php?id=336092760
TOI-3948.01,-999,0.044721359549995794,,https://exofop.ipac.caltech.edu/tess/target.php?id=335489455
TOI-3949.01,-999,0.09379765455489812,,https://exofop.ipac.caltech.edu/tess/target.php?id=334493051
TOI-3950.01,-999,0.120124934963562,,https://exofop.ipac.caltech.edu/tess/target.php?id=334394274
TOI-3951.01,-999,0.09370165420097983,,https://exofop.ipac.caltech.edu/tess/target.php?id=334385701
TOI-3952.01,-999,0.11354734695271396,11.48,https://exofop.ipac.caltech.edu/tess/target.php?id=321861405
TOI-3953.01,-999,0.07803845206050668,,https://exofop.ipac.caltech.edu/tess/target.php?id=320503729
TOI-3954.01,-999,0.09652460826131334,,https://exofop.ipac.caltech.edu/tess/target.php?id=316453500
TOI-3955.01,-999,0.11676436411887448,,https://exofop.ipac.caltech.edu/tess/target.php?id=314375831
TOI-3956.01,-999,0.08584870412533901,,https://exofop.ipac.caltech.edu/tess/target.php?id=309849817
TOI-3957.01,-999,0.05958187643906493,,https://exofop.ipac.caltech.edu/tess/target.php?id=305550963
TOI-3958.01,-999,0.07414378056043548,16.935,https://exofop.ipac.caltech.edu/tess/target.php?id=279383896
TOI-3959.01,-999,0.07668115805072326,,https://exofop.ipac.caltech.edu/tess/target.php?id=275421144
TOI-3960.01,-999,0.13579396157414364,,https://exofop.ipac.caltech.edu/tess/target.php?id=272785423
TOI-3961.01,-999,0.1423551895787435,,https://exofop.ipac.caltech.edu/tess/target.php?id=272219353
TOI-3962.01,-999,0.06376519426771944,,https://exofop.ipac.caltech.edu/tess/target.php?id=271761420
TOI-3963.01,-999,0.04865182422068057,,https://exofop.ipac.caltech.edu/tess/target.php?id=271439193
TOI-3964.01,-999,0.047749345545253286,,https://exofop.ipac.caltech.edu/tess/target.php?id=270435047
TOI-3965.01,-999,0.08841379982785492,,https://exofop.ipac.caltech.edu/tess/target.php?id=269043098
TOI-3966.01,-999,0.10981803130633876,,https://exofop.ipac.caltech.edu/tess/target.php?id=262880826
TOI-3967.01,-999,0.02949576240750525,174.25,https://exofop.ipac.caltech.edu/tess/target.php?id=256867493
TOI-3968.01,-999,0.05486346689738081,,https://exofop.ipac.caltech.edu/tess/target.php?id=252071095
TOI-3969.01,-999,0.13093891705677116,,https://exofop.ipac.caltech.edu/tess/target.php?id=252049912
TOI-3970.01,-999,0.0781984654580894,,https://exofop.ipac.caltech.edu/tess/target.php?id=237221436
TOI-3971.01,-999,0.10064790112068905,,https://exofop.ipac.caltech.edu/tess/target.php?id=237077180
TOI-3972.01,-999,0.12696456198483103,2.365,https://exofop.ipac.caltech.edu/tess/target.php?id=284206913
TOI-3973.01,-999,0.06752777206453653,,https://exofop.ipac.caltech.edu/tess/target.php?id=233654042
TOI-3974.01,-999,0.13740451229854134,,https://exofop.ipac.caltech.edu/tess/target.php?id=156007004
TOI-3975.01,-999,0.06670832032063166,2.6,https://exofop.ipac.caltech.edu/tess/target.php?id=155947004
TOI-3976.01,-999,0.08209750300709517,5.26,https://exofop.ipac.caltech.edu/tess/target.php?id=154293917
TOI-3977.01,-999,0.0970051545022222,2.19,https://exofop.ipac.caltech.edu/tess/target.php?id=116382006
TOI-3978.01,-999,0.08093207028119323,,https://exofop.ipac.caltech.edu/tess/target.php?id=468329664
TOI-3979.01,-999,0.056833088953531286,,https://exofop.ipac.caltech.edu/tess/target.php?id=444523623
TOI-3980.01,-999,0.07292461861401814,4.945,https://exofop.ipac.caltech.edu/tess/target.php?id=312548829
TOI-3981.01,-999,0.05366563145999496,,https://exofop.ipac.caltech.edu/tess/target.php?id=312548415
TOI-3982.01,-999,0.08049223565040295,,https://exofop.ipac.caltech.edu/tess/target.php?id=25773352
TOI-3983.01,-999,0.09284395510748128,,https://exofop.ipac.caltech.edu/tess/target.php?id=20303110
