name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
TOI-1736 c,,,4.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1736%20c
WASP-3 b,0.511,0.105,13.4,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-3%20b
TOI-125 d,0.652,0.0317,1.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-125%20d
TOI-178 b,0.17,0.01623,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-178%20b
HD 11506 d,,,5.5,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2011506%20d
HR 858 c,0.701,0.01358,7.5,https://exoplanetarchive.ipac.caltech.edu/overview/HR%20858%20c
TOI-5076 b,0.107,0.03793,2.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5076%20b
WASP-132 b,0.18,0.12219,3.3,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-132%20b
TOI-620 b,0.887,0.0627,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-620%20b
CFBDSIR J145829+101343 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/CFBDSIR%20J145829+101343%20b
CoRoT-14 b,0.86,0.0925,9.0,https://exoplanetarchive.ipac.caltech.edu/overview/CoRoT-14%20b
LP 714-47 b,0.757,0.0751,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/LP%20714-47%20b
TOI-1075 b,0.4,0.0282,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1075%20b
K2-154 c,0.42,0.03,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-154%20c
Kepler-114 d,0.69,0.033,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-114%20d
GJ 3998 c,,,0.93,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%203998%20c
KOI-94 c,0.41,0.02599,7.3,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-94%20c
TOI-4504 d,,,1.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4504%20d
TOI-771 c,,,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-771%20c
